country;continent;HDGroup;InequalityIncome2010;InequalityIncome2011;InequalityIncome2012;InequalityIncome2013;InequalityIncome2014;InequalityIncome2015;InequalityIncome2016;InequalityIncome2017;InequalityIncome2018;InequalityIncome2019;InequalityIncome2020;InequalityIncome2021
Afghanistan;Asia;Low;10,767;10,767;10,767;;;;;;;;;
Angola;Africa;Medium;24,454;28,94534;28,94534;28,94534;28,94534;28,94534;28,87733;28,87733;28,87733;28,87733;28,87733;28,87733
Albania;Europe;High;18,33096;18,33096;12,23739254;12,23739254;12,23739254;12,23739254;12,23739254;12,23739254;13,17898;13,17898;13,17898;13,17898
Andorra;Europe;Very High;;;;;;;;;;;;
United Arab Emirates;Asia;Very High;;;;;;;;;;;;
Argentina;America;Very High;28,898242;27,705847;26,45734;25,898772;26,390125;25,531354;26,977223;25,978698;26,405909;28,099767;28,099767;28,099767
Armenia;Asia;High;14,25436;14,25436;14,25436;14,25436;14,25436;14,25436;17,43837;17,43837;17,43837;17,43837;17,43837;17,43837
Antigua and Barbuda;America;High;;;;;;;;;;;;
Australia;Oceania;Very High;17,7;17,7;17,7;17,7;17,296;17,296;17,134;17,134;17,126;17,126;17,126;17,126
Austria;Europe;Very High;12,69666;13,84098;15,4998;15,50253;14,165;13,61598;14,77588;15,90224;13,39422;13,39422;14,93291;14,93291
Azerbaijan;Asia;High;;8,859;8,859;8,859;8,859;8,859;8,859;8,859;8,859;8,859;8,859;8,859
Burundi;Africa;Low;13,24395;13,24395;14,14229;14,14229;14,14229;14,14229;14,14229;20,92933;20,92933;20,92933;20,92933;20,92933
Belgium;Europe;Very High;11,92822;12,29837;12,29837;11,92036;12,25388;12,25388;12,03734;11,39067;11,00229;11,00229;10,30447;10,30447
Benin;Africa;Low;23,61438;29,39195;29,39195;29,39195;30,29266;30,29266;30,29266;31,97436;31,97436;31,97436;31,97436;31,97436
Burkina Faso;Africa;Low;24,18928;24,18928;24,18928;24,18928;17,31173505;17,31173505;17,31173505;17,31173505;17,31173505;17,31173505;17,31173505;17,31173505
Bangladesh;Asia;Medium;;28,26605;28,26605;28,26605;15,65692;15,65692;15,65692;15,65692;15,24444;16,55655;16,55655;16,55655
Bulgaria;Europe;High;15,4492;18,79969;17,7552;18,24153;19,95693;21,42273;22,19231;23,90426;21,61938;21,61938;23,00311;23,00311
Bahrain;Asia;Very High;;;;;;;;;;;;
Bahamas;America;Very High;;;;;;;;;;;;
Bosnia and Herzegovina;Europe;High;;16,69773918;20,16037;20,16037;20,16037;20,16037;20,16037;20,16037;20,16037;20,16037;20,16037;20,16037
Belarus;Europe;Very High;12,02035035;10,91539614;10,78175;10,78175;10,83848169;10,83848169;10,83848169;10,83848169;10,83848169;9,64549;9,64549;9,64549
